,Team,Round,HomeAway,FinalScore,Date,Day,Time,Venue,ActualCrowd,Season,Opposition,WinLoss,LadderPosition,Margin,OppLadderPosition,Last5
101,Brisbane Lions,6,Away,132,2022-04-24,Sunday,4,Carrara,14987,2022,Gold Coast,Win,3,52,13,4
102,Richmond,6,Home,54,2022-04-24,Sunday,7,MCG,70334,2022,Melbourne,Loss,12,-22,1,2
103,Melbourne,6,Away,76,2022-04-24,Sunday,7,MCG,70334,2022,Richmond,Win,1,22,12,5
104,Hawthorn,6,Home,68,2022-04-25,Monday,0,York Park,14107,2022,Sydney,Loss,9,-41,4,3
105,Sydney,6,Away,109,2022-04-25,Monday,0,York Park,14107,2022,Hawthorn,Win,4,41,9,4
106,Essendon,6,Home,82,2022-04-25,Monday,3,MCG,84205,2022,Collingwood,Loss,16,-11,8,1
107,Collingwood,6,Away,93,2022-04-25,Monday,3,MCG,84205,2022,Essendon,Win,8,11,16,2
108,West Coast,7,Home,56,2022-04-29,Friday,6,Perth Stadium,39430,2022,Richmond,Loss,18,-109,9,1
109,Richmond,7,Away,165,2022-04-29,Friday,6,Perth Stadium,39430,2022,West Coast,Win,9,109,18,2
110,Geelong,7,Home,66,2022-04-30,Saturday,2,Kardinia Park,20136,2022,Fremantle,Loss,7,-3,3,3
111,Fremantle,7,Away,69,2022-04-30,Saturday,2,Kardinia Park,20136,2022,Geelong,Win,3,3,7,4
112,Adelaide,7,Home,54,2022-04-30,Saturday,2,Adelaide Oval,31811,2022,Greater Western Sydney,Loss,12,-59,15,3
113,Greater Western Sydney,7,Away,113,2022-04-30,Saturday,2,Adelaide Oval,31811,2022,Adelaide,Win,15,59,12,1
114,Melbourne,7,Home,91,2022-04-30,Saturday,5,MCG,39425,2022,Hawthorn,Win,1,10,11,5
115,Hawthorn,7,Away,81,2022-04-30,Saturday,5,MCG,39425,2022,Melbourne,Loss,11,-10,1,2
116,Carlton,7,Home,114,2022-04-30,Saturday,7,Docklands,40129,2022,North Melbourne,Win,6,50,17,3
117,North Melbourne,7,Away,64,2022-04-30,Saturday,7,Docklands,40129,2022,Carlton,Loss,17,-50,6,1
118,St Kilda,7,Home,42,2022-04-30,Saturday,7,Cazaly's Stadium,6645,2022,Port Adelaide,Loss,4,-1,13,5
119,Port Adelaide,7,Away,43,2022-04-30,Saturday,7,Cazaly's Stadium,6645,2022,St Kilda,Win,13,1,4,1
120,Collingwood,7,Home,115,2022-05-01,Sunday,1,MCG,28916,2022,Gold Coast,Win,8,25,14,2
121,Gold Coast,7,Away,90,2022-05-01,Sunday,1,MCG,28916,2022,Collingwood,Loss,14,-25,8,1
122,Western Bulldogs,7,Home,103,2022-05-01,Sunday,3,Docklands,33677,2022,Essendon,Win,10,32,16,2
123,Essendon,7,Away,71,2022-05-01,Sunday,3,Docklands,33677,2022,Western Bulldogs,Loss,16,-32,10,1
